,Codes,Names
222,E01001730,Hackney 019B
223,E01001732,Hackney 019C
224,E01001735,Hackney 019D
225,E01001838,Hackney 019E
226,E01001850,Hackney 019F
227,E01001748,Hackney 020A
228,E01001749,Hackney 020B
229,E01001763,Hackney 020C
230,E01001816,Hackney 020D
231,E01001819,Hackney 020E
232,E01001744,Hackney 021B
233,E01001750,Hackney 021C
234,E01001751,Hackney 021D
235,E01001756,Hackney 021E
236,E01033698,Hackney 021F
237,E01033699,Hackney 021G
238,E01033700,Hackney 021H
239,E01033707,Hackney 021I
240,E01001836,Hackney 022A
241,E01001840,Hackney 022B
242,E01001841,Hackney 022C
243,E01001844,Hackney 022D
244,E01001845,Hackney 022E
245,E01001837,Hackney 023B
246,E01001839,Hackney 023C
247,E01001842,Hackney 023D
248,E01001843,Hackney 023E
249,E01033704,Hackney 023F
250,E01033712,Hackney 023G
251,E01001772,Hackney 024A
252,E01001774,Hackney 024B
253,E01001775,Hackney 024C
254,E01001815,Hackney 024D
255,E01001820,Hackney 024E
256,E01001821,Hackney 024F
257,E01001752,Hackney 025A
258,E01001753,Hackney 025B
259,E01001754,Hackney 025C
260,E01001755,Hackney 025D
261,E01001773,Hackney 025E
262,E01001776,Hackney 025F
263,E01001779,Hackney 026A
264,E01001781,Hackney 026B
265,E01001782,Hackney 026C
266,E01001783,Hackney 026D
267,E01001777,Hackney 027B
268,E01001780,Hackney 027D
269,E01001784,Hackney 027E
270,E01033706,Hackney 027F
271,E01033708,Hackney 027G
272,E01033709,Hackney 027H
273,E01033711,Hackney 027I
274,E01001798,Hackney 028A
275,E01001828,Hackney 028B
276,E01033702,Hackney 028C
277,E01033705,Hackney 028D
278,E01033710,Hackney 028E
279,E01001722,Hackney 029A
280,E01001728,Hackney 029B
281,E01001822,Hackney 029C
282,E01001827,Hackney 029D
283,E01001874,Hammersmith and Fulham 001A
284,E01001875,Hammersmith and Fulham 001B
285,E01001876,Hammersmith and Fulham 001C
286,E01001877,Hammersmith and Fulham 001D
287,E01001878,Hammersmith and Fulham 001E
288,E01001955,Hammersmith and Fulham 002A
289,E01001957,Hammersmith and Fulham 002B
290,E01001958,Hammersmith and Fulham 002C
291,E01001961,Hammersmith and Fulham 002D
292,E01001954,Hammersmith and Fulham 003A
293,E01001956,Hammersmith and Fulham 003B
294,E01001959,Hammersmith and Fulham 003C
295,E01001960,Hammersmith and Fulham 003D
296,E01001943,Hammersmith and Fulham 004A
297,E01001944,Hammersmith and Fulham 004B
298,E01001945,Hammersmith and Fulham 004C
299,E01001946,Hammersmith and Fulham 004D
300,E01001862,Hammersmith and Fulham 005A
301,E01001940,Hammersmith and Fulham 005B
302,E01001941,Hammersmith and Fulham 005C
303,E01001942,Hammersmith and Fulham 005D
304,E01001858,Hammersmith and Fulham 006A
305,E01001860,Hammersmith and Fulham 006B
306,E01001861,Hammersmith and Fulham 006C
307,E01001863,Hammersmith and Fulham 006D
308,E01001864,Hammersmith and Fulham 006E
309,E01001852,Hammersmith and Fulham 007A
310,E01001853,Hammersmith and Fulham 007B
311,E01001854,Hammersmith and Fulham 007C
312,E01001857,Hammersmith and Fulham 007D
313,E01001859,Hammersmith and Fulham 008A
314,E01001865,Hammersmith and Fulham 008B
315,E01001927,Hammersmith and Fulham 008C
316,E01001930,Hammersmith and Fulham 008D
317,E01001895,Hammersmith and Fulham 009A
318,E01001896,Hammersmith and Fulham 009B
319,E01001897,Hammersmith and Fulham 009C
320,E01001929,Hammersmith and Fulham 009D
321,E01001851,Hammersmith and Fulham 010A
322,E01001855,Hammersmith and Fulham 010B
323,E01001856,Hammersmith and Fulham 010C
324,E01001869,Hammersmith and Fulham 010D
325,E01001873,Hammersmith and Fulham 010E
326,E01001928,Hammersmith and Fulham 011A
327,E01001931,Hammersmith and Fulham 011B
328,E01001932,Hammersmith and Fulham 011C
329,E01001933,Hammersmith and Fulham 011D
330,E01001866,Hammersmith and Fulham 012A
331,E01001867,Hammersmith and Fulham 012B
332,E01001868,Hammersmith and Fulham 012C
333,E01001870,Hammersmith and Fulham 012D
334,E01001871,Hammersmith and Fulham 012E
335,E01001872,Hammersmith and Fulham 012F
336,E01001893,Hammersmith and Fulham 013A
337,E01001894,Hammersmith and Fulham 013B
338,E01001898,Hammersmith and Fulham 013C
339,E01001899,Hammersmith and Fulham 013D
