,Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,force,DayMonth
201017,Person and Vehicle search,2018-08-27 00:00:00+00:00,False,,51.54034,-0.0019510000000000005,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201018,Person search,2018-08-27 00:29:00+00:00,False,,51.630422,0.003653,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,018-08-metropolitan,27/8/2018
201019,Person search,2018-08-27 00:30:00+00:00,False,,51.513802,-0.133443,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201020,Person search,2018-08-27 00:31:00+00:00,False,,51.517193,-0.20083,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201021,Person search,2018-08-27 00:42:00+00:00,False,,,,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,018-08-metropolitan,27/8/2018
201022,Person search,2018-08-27 00:50:00+00:00,False,,51.537626,-0.248489,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,018-08-metropolitan,27/8/2018
201023,Person search,2018-08-27 00:55:00+00:00,False,,51.53422800000001,-0.19344,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,018-08-metropolitan,27/8/2018
201024,Person search,2018-08-27 01:00:00+00:00,False,,51.439779,-0.020228,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,018-08-metropolitan,27/8/2018
201025,Person search,2018-08-27 01:00:00+00:00,False,,51.554181,-0.007316,Male,,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201026,Person search,2018-08-27 01:00:00+00:00,False,,51.554181,-0.007316,Male,,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201027,Person search,2018-08-27 01:00:00+00:00,False,,51.554181,-0.007316,Male,,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201028,Person search,2018-08-27 01:00:00+00:00,False,,51.554181,-0.007316,Male,,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201029,Person search,2018-08-27 01:04:00+00:00,False,,51.563983,-0.13081199999999998,Male,25-34,White - Irish,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201030,Person search,2018-08-27 01:04:00+00:00,False,,51.52329,-0.09768,Male,over 34,White - Irish,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201031,Person search,2018-08-27 01:20:00+00:00,False,,51.479491,-0.026631,Male,over 34,Asian/Asian British - Chinese,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,018-08-metropolitan,27/8/2018
201032,Person and Vehicle search,2018-08-27 01:55:00+00:00,False,,51.514016,-0.172189,Male,25-34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201033,Person search,2018-08-27 01:56:00+00:00,False,,51.502686,-0.084879,Male,25-34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest,,,018-08-metropolitan,27/8/2018
201034,Person and Vehicle search,2018-08-27 02:15:00+00:00,False,,51.60868,-0.06725,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201035,Person search,2018-08-27 02:20:00+00:00,False,,51.649975,-0.051038,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest,,,018-08-metropolitan,27/8/2018
201036,Person search,2018-08-27 02:25:00+00:00,False,,51.607481,-0.067069,Male,over 34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,018-08-metropolitan,27/8/2018
201037,Person search,2018-08-27 02:25:00+00:00,False,,51.607481,-0.067069,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201038,Person search,2018-08-27 02:27:00+00:00,False,,51.525498,-0.161177,Female,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201039,Person search,2018-08-27 02:30:00+00:00,False,,51.41010900000001,0.026231,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,018-08-metropolitan,27/8/2018
201040,Person search,2018-08-27 02:35:00+00:00,False,,51.483743,-0.219848,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,018-08-metropolitan,27/8/2018
201041,Person and Vehicle search,2018-08-27 02:35:00+00:00,False,,51.56311,-0.293678,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201042,Person and Vehicle search,2018-08-27 02:37:00+00:00,False,,51.483743,-0.219848,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201043,Vehicle search,2018-08-27 02:58:00+00:00,False,,51.62042,-0.066433,,,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,018-08-metropolitan,27/8/2018
201044,Person and Vehicle search,2018-08-27 03:00:00+00:00,False,,51.565019,0.18838,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201045,Person and Vehicle search,2018-08-27 03:00:00+00:00,False,,51.565019,0.18838,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201046,Person search,2018-08-27 03:05:00+00:00,False,,51.550955,-0.110157,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,018-08-metropolitan,27/8/2018
201047,Person search,2018-08-27 03:30:00+00:00,False,,51.445097,-0.12433,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201048,Person and Vehicle search,2018-08-27 03:43:00+00:00,False,,51.552805,-0.124,Male,18-24,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,018-08-metropolitan,27/8/2018
201049,Person search,2018-08-27 04:00:00+00:00,False,,51.528461,-0.127884,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,018-08-metropolitan,27/8/2018
201050,Person and Vehicle search,2018-08-27 04:10:00+00:00,False,,51.556428,-0.122293,Male,18-24,Other ethnic group - Any other ethnic group,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,018-08-metropolitan,27/8/2018
201051,Person search,2018-08-27 04:10:00+00:00,False,,51.52388300000001,-0.143078,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Community resolution,,,018-08-metropolitan,27/8/2018
201052,Person search,2018-08-27 04:19:00+00:00,False,,51.46459,-0.130874,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,018-08-metropolitan,27/8/2018
201053,Person search,2018-08-27 04:20:00+00:00,False,,51.517772,-0.203416,Male,,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201054,Person search,2018-08-27 04:25:00+00:00,False,,51.510184,-0.230159,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201055,Person search,2018-08-27 04:25:00+00:00,False,,51.506744,-0.245956,Male,25-34,Other ethnic group - Any other ethnic group,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201056,Person search,2018-08-27 04:30:00+00:00,False,,51.46459,-0.130874,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,018-08-metropolitan,27/8/2018
201057,Person and Vehicle search,2018-08-27 04:30:00+00:00,False,,51.54875,-0.051271,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,018-08-metropolitan,27/8/2018
201058,Person and Vehicle search,2018-08-27 04:30:00+00:00,False,,51.54875,-0.051271,Male,25-34,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Community resolution,,,018-08-metropolitan,27/8/2018
201059,Person search,2018-08-27 04:39:00+00:00,False,,51.557451,-0.042936,Male,25-34,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,018-08-metropolitan,27/8/2018
201060,Person and Vehicle search,2018-08-27 05:00:00+00:00,False,,51.511777,-0.234968,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201061,Person search,2018-08-27 05:00:00+00:00,False,,51.511777,-0.234968,Female,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201062,Person and Vehicle search,2018-08-27 05:00:00+00:00,False,,51.511777,-0.234968,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201063,Person search,2018-08-27 07:00:00+00:00,False,,51.445097,-0.12433,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201064,Person search,2018-08-27 07:00:00+00:00,False,,51.503146,-0.113259,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,018-08-metropolitan,27/8/2018
201065,Person search,2018-08-27 07:00:00+00:00,False,,51.445097,-0.12433,Male,over 34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201066,Person search,2018-08-27 07:30:00+00:00,False,,51.457506,-0.222395,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,018-08-metropolitan,27/8/2018
201067,Person search,2018-08-27 07:35:00+00:00,False,,51.505458,-0.114389,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201068,Person search,2018-08-27 08:00:00+00:00,False,,51.567445,-0.111724,Male,25-34,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,018-08-metropolitan,27/8/2018
201069,Person search,2018-08-27 08:07:00+00:00,False,,51.529119,-0.218064,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201070,Person search,2018-08-27 08:10:00+00:00,False,,51.520487,-0.202214,Male,10-17,Black/African/Caribbean/Black British - African,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201071,Person and Vehicle search,2018-08-27 08:30:00+00:00,False,,51.484478,-0.12391,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,018-08-metropolitan,27/8/2018
201072,Vehicle search,2018-08-27 08:44:00+00:00,False,,51.485486,-0.123379,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,018-08-metropolitan,27/8/2018
201073,Person search,2018-08-27 09:00:00+00:00,False,,51.522832,-0.209098,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201074,Person search,2018-08-27 09:05:00+00:00,False,,51.546782,-0.076379,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,018-08-metropolitan,27/8/2018
201075,Person search,2018-08-27 09:08:00+00:00,False,,51.517497,-0.210115,Male,,Black/African/Caribbean/Black British - African,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201076,Person search,2018-08-27 09:09:00+00:00,False,,51.517772,-0.203416,Male,18-24,Other ethnic group - Not stated,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201077,Vehicle search,2018-08-27 09:10:00+00:00,False,,51.573321,-0.038488,,,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,018-08-metropolitan,27/8/2018
201078,Person and Vehicle search,2018-08-27 09:10:00+00:00,False,,51.573321,-0.038488,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,018-08-metropolitan,27/8/2018
201079,Person search,2018-08-27 09:20:00+00:00,False,,,,Male,18-24,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,018-08-metropolitan,27/8/2018
201080,Person search,2018-08-27 09:20:00+00:00,False,,51.517497,-0.210115,Male,18-24,Other ethnic group - Not stated,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201081,Person search,2018-08-27 09:20:00+00:00,False,,51.550699,-0.131832,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201082,Person search,2018-08-27 09:21:00+00:00,False,,51.454822,-0.127386,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201083,Person search,2018-08-27 09:25:00+00:00,False,,51.545687,-0.076526,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201084,Person search,2018-08-27 09:34:00+00:00,False,,51.547046,-0.200691,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201085,Person search,2018-08-27 09:35:00+00:00,False,,51.543695,-0.115548,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,018-08-metropolitan,27/8/2018
201086,Person search,2018-08-27 09:38:00+00:00,False,,51.505609,-0.148749,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201087,Person search,2018-08-27 09:50:00+00:00,False,,51.510437,-0.120942,Male,over 34,White - Irish,White,Firearms Act 1968 (section 47),Firearms,A no further action disposal,,,018-08-metropolitan,27/8/2018
201088,Person search,2018-08-27 10:00:00+00:00,False,,51.520487,-0.202214,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201089,Person and Vehicle search,2018-08-27 10:01:00+00:00,False,,51.400347,-0.144506,Male,over 34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,018-08-metropolitan,27/8/2018
201090,Person search,2018-08-27 10:02:00+00:00,False,,51.517497,-0.210115,Male,10-17,Other ethnic group - Not stated,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201091,Person search,2018-08-27 10:10:00+00:00,False,,,,Male,,Other ethnic group - Not stated,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201092,Person search,2018-08-27 10:10:00+00:00,False,,51.517772,-0.203416,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201093,Person search,2018-08-27 10:14:00+00:00,False,,51.517497,-0.210115,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201094,Person search,2018-08-27 10:19:00+00:00,False,,51.517497,-0.210115,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201095,Person search,2018-08-27 10:20:00+00:00,False,,51.517497,-0.210115,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201096,Person search,2018-08-27 10:30:00+00:00,False,,51.516925,-0.205093,Male,10-17,Black/African/Caribbean/Black British - African,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201097,Person search,2018-08-27 10:30:00+00:00,False,,51.520487,-0.202214,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201098,Person search,2018-08-27 10:35:00+00:00,False,,51.474047,-0.063082,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,018-08-metropolitan,27/8/2018
201099,Person search,2018-08-27 10:35:00+00:00,False,,51.521222,-0.20083,Male,25-34,White - Any other White background,White,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,Arrest,,,018-08-metropolitan,27/8/2018
201100,Person search,2018-08-27 10:35:00+00:00,False,,51.517772,-0.203416,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201101,Person search,2018-08-27 10:38:00+00:00,False,,51.517772,-0.203416,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201102,Person search,2018-08-27 10:38:00+00:00,False,,51.517772,-0.203416,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201103,Person search,2018-08-27 10:39:00+00:00,False,,51.508642,-0.203228,Male,over 34,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,018-08-metropolitan,27/8/2018
201104,Person search,2018-08-27 10:40:00+00:00,False,,51.521222,-0.20083,Male,25-34,Asian/Asian British - Pakistani,Asian,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201105,Person search,2018-08-27 10:40:00+00:00,False,,,,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,018-08-metropolitan,27/8/2018
201106,Person search,2018-08-27 10:40:00+00:00,False,,51.521222,-0.20083,Male,,Other ethnic group - Not stated,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201107,Person search,2018-08-27 10:41:00+00:00,False,,51.521222,-0.20083,Male,,Black/African/Caribbean/Black British - Caribbean,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201108,Person search,2018-08-27 10:44:00+00:00,False,,51.515226,-0.193975,Male,18-24,Other ethnic group - Not stated,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201109,Person search,2018-08-27 10:44:00+00:00,False,,51.521222,-0.20083,Male,10-17,Other ethnic group - Any other ethnic group,Asian,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201110,Person search,2018-08-27 10:45:00+00:00,False,,51.469807,-0.118062,Male,over 34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,018-08-metropolitan,27/8/2018
201111,Person search,2018-08-27 10:45:00+00:00,False,,51.500844,-0.122777,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,018-08-metropolitan,27/8/2018
201112,Person search,2018-08-27 10:45:00+00:00,False,,,,Male,18-24,Other ethnic group - Not stated,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201113,Person search,2018-08-27 10:45:00+00:00,False,,51.521222,-0.20083,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201114,Person search,2018-08-27 10:45:00+00:00,False,,51.524364,-0.20346,Male,25-34,Other ethnic group - Not stated,White,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,Arrest,,,018-08-metropolitan,27/8/2018
201115,Person search,2018-08-27 10:45:00+00:00,False,,51.417591,-0.060939,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,018-08-metropolitan,27/8/2018
201116,Person search,2018-08-27 10:45:00+00:00,False,,51.507133,-0.121813,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,018-08-metropolitan,27/8/2018
201117,Person search,2018-08-27 10:45:00+00:00,False,,51.507133,-0.121813,Male,over 34,Other ethnic group - Any other ethnic group,Other,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,018-08-metropolitan,27/8/2018
201118,Person search,2018-08-27 10:45:00+00:00,False,,51.507133,-0.121813,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,018-08-metropolitan,27/8/2018
201119,Person search,2018-08-27 10:45:00+00:00,False,,51.507133,-0.121813,Female,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,018-08-metropolitan,27/8/2018
201120,Person search,2018-08-27 10:45:00+00:00,False,,51.507133,-0.121813,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,018-08-metropolitan,27/8/2018
201121,Person search,2018-08-27 10:45:00+00:00,False,,51.517851,-0.20678600000000005,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201122,Person search,2018-08-27 10:50:00+00:00,False,,51.511342,-0.203381,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201123,Person search,2018-08-27 10:50:00+00:00,False,,51.516094,-0.210141,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201124,Person search,2018-08-27 10:50:00+00:00,False,,51.513738,-0.205967,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,,,018-08-metropolitan,27/8/2018
201125,Person search,2018-08-27 10:50:00+00:00,False,,51.521222,-0.20083,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201126,Person search,2018-08-27 10:51:00+00:00,False,,51.517497,-0.210115,Male,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
201127,Person search,2018-08-27 10:52:00+00:00,False,,51.511342,-0.203381,Male,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,A no further action disposal,,,018-08-metropolitan,27/8/2018
